"usa_n","usa_p2o5","usa_k2o","china_n","china_p2o5","china_k2o","germany_n","germany_p2o5","germany_k2o","japan_n","japan_p2o5","japan_k2o","india_n","india_p2o5","india_k2o","uk_n","uk_p2o5","uk_k2o","france_n","france_p2o5","france_k2o","italy_n","italy_p2o5","italy_k2o","brazil_n","brazil_p2o5","brazil_k2o","canada_n","canada_p2o5","canada_k2o"
39.31,19.48,21.18,106.57,23.75,5.66,147.33,75.03,103.47,103.47,140.54,101.89,38.54,13.11,5.12,188.36,45.55,58.22,119.76,66.45,87.59,83.54,55.16,38.71,14.35,27.03,19.87,24.72,15.02,8.89
40.24,19.71,21.39,131.18,35.04,10.89,153.37,72.87,98.21,100.22,143.45,101.39,33.6,10.38,5.18,174.21,43.48,56.12,118.27,64.99,85.85,86.71,65.09,36.8,14.3,27,20.53,25.57,15.24,9.21
40.84,19.91,21.27,143.4,39.99,12.75,155.8,72.02,100.87,96.29,136.54,97.67,42.26,15.22,6.08,174.17,42.78,56.41,123.06,68.97,91.4,77.12,59.72,37.77,12.43,25.54,22.64,25.11,14.78,8.14
42.19,20.55,21.99,144.37,40.37,9.96,145.46,69.05,95.16,97.14,137.9,97.01,42.07,17.6,6.89,186.94,42.81,57.05,126.48,71.08,92.65,69.13,50.8,31.56,12.51,22.45,20.8,25.95,14.67,8.23
43.35,20.57,22.1,147.94,44.27,14.09,115.18,44.15,65.35,93.38,131.6,92.01,44.47,18.37,7.81,181.39,39.78,55.19,118.08,63.92,87.28,73.42,53.85,35.15,12.7,21.28,20.35,25.12,13.94,7.74
44.04,20.34,21.85,149.85,54.66,18.04,116.54,39.56,52.53,88.55,133.74,83.01,47.28,19.52,7.99,164.63,38.52,49.86,121.45,59.33,82.31,76.52,55.86,35.27,13.55,23.19,21.97,27.23,14.3,7.51
44.48,21.19,22.37,154.5,52.6,14.83,114.79,37.67,48.92,88.6,135.33,89.39,49.57,16.73,5.2,147.36,37.44,48.73,101.76,48.61,63.63,78.25,52.71,34.31,14.04,25.24,23.5,28.65,14.88,7.52
47.99,22.01,23.03,137.55,42.36,11.7,108.28,31.36,46.03,93.68,142.08,85.91,51.55,15.68,5.5,160.6,43.69,55.59,104,47.13,64.35,80.66,52.02,34.62,18.56,31.16,31.11,30.6,15.4,7.27
47.39,21.99,22.99,146.39,56,17.98,118.8,33.72,47.17,91.35,138.42,84.9,55.82,17.21,6.6,179.37,47.47,59.65,107.73,48.09,64.1,78.9,52.23,38.68,21.39,37.59,34.51,31.72,15.21,7.13
47.73,22.1,23.08,181.7,68.09,22.06,117.4,29.99,45.74,83.76,125.33,86.14,57.81,17.05,6.8,177.27,45.55,59.19,111.25,47.98,69.36,80.07,49.6,37.06,20.48,25.45,33.95,34.37,15.95,7.67
49.38,22.91,24.13,193.06,62.01,19.79,116.58,30.97,45.5,81.97,122.17,79.51,60.85,17.57,6.15,188.63,47.32,62.03,117.28,48.88,69.15,79.59,52.24,37.62,22.05,33.39,38.41,36.47,17.06,7.42
49.67,23.24,24.26,175.31,70.87,26.12,118.63,30.56,46.44,80.05,119.72,76.74,64.09,23.01,8.07,169.71,44.45,58.25,116.46,48.14,66.59,77.91,45.65,36.63,24.88,38.54,43.79,36.1,17.4,8.21
50.22,22.23,23.19,174.84,72.24,26.63,125.75,30.23,44.14,77.64,114.43,69.96,66.78,24.19,7.83,163.15,38.3,53.52,115.06,46.76,61.86,75.87,45.61,35.47,26.26,38.18,40.95,35.53,16.19,8.23
50.43,21.84,22.76,184.43,68.04,25.9,133.84,31.4,42.31,78.83,117.22,71.91,68.1,28.19,9.84,169.97,37.18,51.65,118.7,44.57,56.15,75.99,45,35.2,27.72,36.24,39.74,36.78,16.23,7.83
