"dataset","country","model","obs","samples","test_size","strategy","true","pred","pred_median","std","skewness","kurtosis","mse","mse_median","smape","smape_median","r2","r2_median"
"clima","brazil","arima","",NA,1,"ro",1.54,1.37301838831356,NA,NA,NA,NA,0.0278828586413998,NA,11.4645079039894,NA,-Inf,NA
"clima","brazil","arima","",NA,2,"ro",1.452,1.50763082432878,NA,NA,NA,NA,0.0154888236284496,NA,7.61190812613972,NA,-7.00042542791819,NA
"clima","brazil","arima","",NA,3,"ro",1.149,1.43174447334747,NA,NA,NA,NA,0.0369740281551451,NA,12.378556564534,NA,-0.318230719302099,NA
"clima","brazil","arima","",NA,4,"ro",0.997,1.45071812902332,NA,NA,NA,NA,0.0791955562674644,NA,18.5521032419278,NA,-0.629932262789139,NA
"clima","brazil","arima","",NA,5,"ro",1.648,1.38370974252566,NA,NA,NA,NA,0.0773263130531421,NA,18.3286952684979,NA,-0.288519334429487,NA
"clima","brazil","arima","",NA,1,"sa",1.54,1.37301838831356,NA,NA,NA,NA,0.0278828586413998,NA,11.4645079039894,NA,-Inf,NA
"clima","brazil","arima","",NA,2,"sa",1.452,1.45654692559384,NA,NA,NA,NA,0.0139517665868779,NA,5.88858375206869,NA,-6.20649100561872,NA
"clima","brazil","arima","",NA,3,"sa",1.149,1.43163177985513,NA,NA,NA,NA,0.0359280853859444,NA,11.2270813407507,NA,-0.280939843576934,NA
"clima","brazil","arima","",NA,4,"sa",0.997,1.44684959684753,NA,NA,NA,NA,0.0775372289854298,NA,17.6240197245411,NA,-0.595802050607499,NA
"clima","brazil","arima","",NA,5,"sa",1.648,1.48706644452226,NA,NA,NA,NA,0.0672097050440849,NA,16.152550958655,NA,-0.119942242055306,NA
"clima","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,1,"ro",1.54,1.21677446365356,1.21455997228622,0.0889875794378203,0.233214917344064,-0.696507257724236,0.104474747346441,0.105911211638343,23.4495451556137,23.629184406079,-Inf,-Inf
"clima","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,2,"ro",1.452,1.48540726502736,1.48070657253265,0.0962216566773024,0.144933976208499,-1.03135493574632,0.0527953963515248,0.0533676394724578,12.8620770784497,12.793434505284,-26.2703493551264,-26.5659294795753
"clima","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,3,"ro",1.149,1.43735884428024,1.45838057994843,0.0988259280834764,-0.348740966231497,-0.871099044508604,0.0629138719258956,0.0674838740647132,16.0075315594162,16.4393366454221,-1.24306094794307,-1.40599470191186
"clima","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,4,"ro",0.997,1.26335386435191,1.25372117757797,0.0987517557989505,0.0258134108166064,-1.35587927241029,0.0649214992082204,0.0670893463027901,17.8975107481637,18.0325895686746,-0.336156358959634,-0.380773053213279
"clima","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,5,"ro",1.648,1.21838192542394,1.24428582191467,0.11636054919329,-0.334960103542112,-0.95499373609889,0.0888515373670645,0.0862685045596543,20.3132749064221,20.0093950599283,-0.480568764639873,-0.437526654103368
"clima","brazil","chronos-zeroshot","amazon/chronos-t5-tiny",30,1,"sa",1.54,1.25802106062571,1.24570244550705,0.0969434106783398,-0.113154158202551,-0.583399171149636,0.0795121222506484,0.0866110505805312,20.1555980648144,21.1291450002215,-Inf,-Inf
